"country","year","life_expectancy","population","continent","dengue_cases"
India,2015,67.2,1311050527,Asia,0.055688
India,2014,66.9,1295291543,Asia,0.096596
India,2013,66.5,1279498874,Asia,0.161731
India,2012,66.1,1263589639,Asia,0.158509
India,2011,65.7,1247446011,Asia,0.060827
India,2010,65.4,1230984504,Asia,0.180654
India,2009,65.0,1214182182,Asia,0.087481
India,2008,64.7,1197070109,Asia,0.085596
India,2007,64.3,1179685631,Asia,0.088288
India,2006,63.9,1162088305,Asia,0.165925
India,2005,63.6,1144326293,Asia,0.109058
India,2004,63.2,1126419321,Asia,0.071962
India,2003,62.8,1108369577,Asia,0.170308
India,2002,62.3,1090189358,Asia,0.062000
Brazil,2015,74.4,207847528,Americas,0.365781
Brazil,2014,74.3,206077898,Americas,0.131115
Brazil,2013,74.1,204259377,Americas,0.159808
Brazil,2012,74.0,202401584,Americas,0.104415
Brazil,2011,73.8,200517584,Americas,0.169365
Brazil,2010,73.6,198614208,Americas,0.240846
Brazil,2009,73.4,196701298,Americas,0.157904
Brazil,2008,73.2,194769696,Americas,0.185635
Brazil,2007,73.0,192784521,Americas,0.152750
Brazil,2006,72.7,190698241,Americas,0.087698
Brazil,2005,72.4,188479240,Americas,0.051692
Brazil,2004,72.0,186116363,Americas,0.045769
Brazil,2003,71.7,183627339,Americas,0.083538
Brazil,2002,71.4,181045592,Americas,0.073000
Bolivia,2015,73.2,10724705,Americas,0.013344
Bolivia,2014,72.9,10561887,Americas,0.017500
Bolivia,2013,72.7,10399931,Americas,0.010846
Bolivia,2012,72.4,10238762,Americas,0.028547
Bolivia,2011,72.1,10078238,Americas,0.041788
Bolivia,2010,71.8,9918245.0,Americas,0.025673
Bolivia,2009,71.6,9758799.0,Americas,0.199269
Bolivia,2008,71.2,9599916.0,Americas,0.028712
Bolivia,2007,70.9,9441482.0,Americas,0.050173
Bolivia,2006,70.6,9283345.0,Americas,0.020151
Bolivia,2005,70.2,9125405.0,Americas,0.028558
Bolivia,2004,69.8,8967740.0,Americas,0.028173
Bolivia,2003,69.3,8810420.0,Americas,0.075865
Bolivia,2002,68.7,8653343.0,Americas,0.101000
Argentina,2015,76.5,43416755,Americas,0.066188
Argentina,2014,76.3,42980026,Americas,0.053212
Argentina,2013,76.2,42538304,Americas,0.081981
Argentina,2012,76.1,42095224,Americas,0.039283
Argentina,2011,76.0,41655616,Americas,0.061269
Argentina,2010,75.8,41222875,Americas,0.127327
Argentina,2009,75.6,40798641,Americas,0.321904
Argentina,2008,75.4,40381860,Americas,0.028115
Argentina,2007,75.2,39969903,Americas,0.107096
Argentina,2006,75.3,39558750,Americas,0.019000
Argentina,2005,75.3,39145491,Americas,0.019904
Argentina,2004,75.0,38728778,Americas,0.029481
Argentina,2003,74.5,38309475,Americas,0.030370
